
 num     #instances         #bytes  class name
 Total        175550       12345920

----------------------------------------------
   1:         26926        2584752  [C
   2:          7217        1383144  [Ljava.lang.Object;
   3:          1370        1019880  [B
   4:            28         917952  [Ljava.util.concurrent.ForkJoinTask;
   5:          8249         903792  java.lang.Class
   6:          3409         846056  [I
   7:         26816         643584  java.lang.String
   8:         10951         350432  java.util.concurrent.ConcurrentHashMap$Node
   9:           513         270360  [Lorg.apache.flink.runtime.state.heap.CopyOnWriteStateMap$StateMapEntry;
  10:          6530         208960  java.util.HashMap$Node
  11:          2107         134848  java.nio.DirectByteBuffer
  12:          2764         132672  java.util.HashMap
  13:          1223         117040  [Ljava.util.HashMap$Node;
  14:          2053         114968  org.apache.flink.core.memory.MemorySegment
  15:           104         111824  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  16:          6697         107152  java.lang.Object
  17:          1538          86128  java.lang.invoke.MemberName
  18:          2115          84600  sun.misc.Cleaner
  19:           928          81664  java.lang.reflect.Method
  20:          1725          69000  java.lang.ref.SoftReference
  21:          2101          67232  java.nio.DirectByteBuffer$Deallocator
  22:          1793          60192  [S
  23:          1465          58600  java.lang.invoke.MethodType
  24:           897          57408  org.apache.flink.shaded.netty4.io.netty.buffer.PoolSubpage
  25:          2273          56280  [Ljava.lang.Class;
  26:          1341          53640  java.util.LinkedHashMap$Entry
  27:          1467          46944  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  28:            80          46080  org.apache.flink.shaded.netty4.io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  29:          1103          45560  [Ljava.lang.String;
  30:           504          40320  java.lang.reflect.Constructor
  31:           990          39600  com.typesafe.config.impl.SimpleConfigOrigin
  32:          1218          38976  java.lang.invoke.DirectMethodHandle
  33:          1528          36672  java.util.ArrayList
  34:          2143          34288  java.util.concurrent.atomic.AtomicBoolean
  35:           512          32768  org.apache.flink.runtime.state.heap.CopyOnWriteStateMap
  36:           379          31000  [J
  37:           500          28000  java.util.LinkedHashMap
  38:          1076          25824  akka.dispatch.AbstractNodeQueue$Node
  39:           536          25728  java.util.TreeMap
  40:           344          24768  java.lang.reflect.Field
  41:          1028          24672  akka.actor.LightArrayRevolverScheduler$TaskQueue
  42:          1024          24576  org.jboss.netty.util.HashedWheelTimer$HashedWheelBucket
  43:            60          22560  java.lang.Thread
  44:           346          19376  java.lang.Package
  45:           711          17064  org.apache.flink.api.java.tuple.Tuple2
  46:           530          16960  java.util.Hashtable$Entry
  47:           419          16760  java.io.ObjectStreamField
  48:           410          16400  java.math.BigInteger
  49:           270          16200  [Ljava.lang.ref.SoftReference;
  50:           458          14656  java.lang.invoke.BoundMethodHandle$Species_L
  51:           451          14432  java.lang.invoke.LambdaForm$Name
  52:           430          13760  java.util.RegularEnumSet
  53:           341          13640  org.apache.flink.configuration.ConfigOption
  54:           425          13600  scala.collection.immutable.HashMap$HashMap1
  55:           159          13504  [Ljava.util.Hashtable$Entry;
  56:           190          12160  java.util.concurrent.ConcurrentHashMap
  57:           501          12024  scala.Tuple2
  58:           115          11960  java.io.ObjectStreamClass
  59:           282          11280  java.lang.invoke.BoundMethodHandle$Species_LL
  60:           341          10912  sun.misc.FDBigInteger
  61:           425          10200  org.apache.flink.configuration.description.TextElement
  62:           299           9568  com.typesafe.config.impl.SimpleConfigObject
  63:           236           9440  java.lang.ref.Finalizer
  64:           294           9408  java.lang.ThreadLocal$ThreadLocalMap$Entry
  65:           294           9408  java.util.Vector
  66:           129           9288  sun.reflect.DelegatingClassLoader
  67:            28           9184  java.util.concurrent.ForkJoinPool$WorkQueue
  68:           152           8512  java.lang.invoke.MethodTypeForm
  69:           354           8496  com.typesafe.config.impl.ConfigString$Quoted
  70:           353           8472  java.lang.Long
  71:           518           8288  java.util.TreeSet
  72:             3           8240  [Ljava.nio.ByteBuffer;
  73:             2           8224  [Lakka.actor.ActorRef;
  74:             2           8224  [Lakka.serialization.Serializer;
  75:             1           8216  [Lscala.math.BigInt;
  76:           169           8112  java.lang.invoke.LambdaForm
  77:           174           7944  [Ljava.lang.invoke.LambdaForm$Name;
  78:           245           7840  org.apache.logging.log4j.core.config.plugins.processor.PluginEntry
  79:           321           7704  scala.collection.immutable.$colon$colon
  80:           239           7648  java.util.concurrent.locks.ReentrantLock$NonfairSync
  81:           136           7616  org.apache.flink.runtime.metrics.groups.GenericMetricGroup
  82:           187           7480  org.apache.flink.metrics.MeterView
  83:            23           7456  [[S
  84:           148           7104  java.util.Hashtable
  85:           176           7040  org.apache.logging.log4j.core.Logger
  86:           176           7040  org.apache.logging.log4j.core.Logger$PrivateConfig
  87:            79           6992  [Ljava.util.WeakHashMap$Entry;
  88:           428           6848  java.lang.Integer
  89:           208           6656  java.io.ObjectStreamClass$WeakClassKey
  90:           138           6624  org.apache.flink.shaded.netty4.io.netty.buffer.PoolChunkList
  91:           163           6520  java.security.ProtectionDomain
  92:            40           6400  org.apache.flink.shaded.netty4.io.netty.channel.epoll.EpollEventLoop
  93:            34           6256  [Z
  94:           245           5880  org.apache.logging.log4j.core.config.plugins.util.PluginType
  95:           141           5640  java.util.WeakHashMap$Entry
  96:            88           5632  java.net.URL
  97:            52           5440  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
  98:           332           5312  org.apache.flink.configuration.description.Description
  99:           216           5184  com.typesafe.config.impl.ConfigString$Unquoted
 100:           162           5184  java.security.CodeSource
 101:           127           5080  java.lang.invoke.MethodHandleImpl$AsVarargsCollector
 102:           314           5024  java.util.HashSet
 103:           205           4920  java.lang.invoke.LambdaForm$NamedFunction
 104:           201           4824  javax.management.ImmutableDescriptor
 105:           301           4816  com.typesafe.config.impl.SimpleConfig
 106:           192           4608  java.util.concurrent.CompletableFuture
 107:            94           4512  java.lang.invoke.BoundMethodHandle$Species_L4
 108:           277           4432  java.util.HashMap$Values
 109:           184           4416  java.time.LocalDateTime
 110:           149           4408  [Ljava.io.ObjectStreamField;
 111:           183           4392  sun.reflect.generics.tree.SimpleClassTypeSignature
 112:             8           4288  [Lorg.apache.flink.runtime.state.heap.HeapPriorityQueueElement;
 113:           107           4280  java.io.ObjectStreamClass$FieldReflectorKey
 114:           178           4272  org.apache.logging.log4j.message.DefaultFlowMessageFactory
 115:           178           4272  org.apache.logging.log4j.spi.AbstractLogger$LocalLogBuilder
 116:             8           4224  [Ljava.util.HashMap;
 117:           176           4224  [Ljava.util.Map;
 118:           176           4224  org.apache.logging.slf4j.Log4jLogger
 119:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 120:             2           4128  [Lakka.actor.LightArrayRevolverScheduler$TaskQueue;
 121:             2           4128  [Lorg.jboss.netty.util.HashedWheelTimer$HashedWheelBucket;
 122:           172           4128  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 123:           119           4096  [Lscala.collection.immutable.HashMap;
 124:           256           4096  java.lang.Byte
 125:           256           4096  java.lang.Short
 126:           169           4056  org.apache.flink.metrics.SimpleCounter
 127:            23           4048  [Lorg.apache.flink.shaded.netty4.io.netty.buffer.PoolSubpage;
 128:           251           4016  java.util.concurrent.atomic.AtomicInteger
 129:            10           3840  akka.dispatch.MonitorableThreadFactory$AkkaForkJoinWorkerThread
 130:            96           3840  java.util.TreeMap$Entry
