
 num     #instances         #bytes  class name
 116:           106           4240  java.io.ObjectStreamClass$FieldReflectorKey
 117:             8           4224  [Ljava.util.HashMap;
 118:           176           4224  org.apache.logging.slf4j.Log4jLogger
 119:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 120:             2           4128  [Lakka.actor.LightArrayRevolverScheduler$TaskQueue;
 121:             2           4128  [Ljava.nio.ByteBuffer;
 122:             2           4128  [Lorg.jboss.netty.util.HashedWheelTimer$HashedWheelBucket;
 123:           119           4096  [Lscala.collection.immutable.HashMap;
 124:           256           4096  java.lang.Byte
 125:           256           4096  java.lang.Short
 126:            23           4048  [Lorg.apache.flink.shaded.netty4.io.netty.buffer.PoolSubpage;
 127:           163           3912  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 128:           160           3840  [Ljava.util.Map;
 129:            10           3840  akka.dispatch.MonitorableThreadFactory$AkkaForkJoinWorkerThread
 130:            96           3840  java.io.ObjectStreamClass$FieldReflector
 131:            96           3840  java.util.TreeMap$Entry
 132:           238           3808  java.util.concurrent.atomic.AtomicInteger
 133:           117           3744  java.lang.ref.WeakReference
 134:           152           3648  org.apache.flink.metrics.SimpleCounter
 135:           225           3600  java.util.HashMap$KeySet
 136:           148           3552  sun.reflect.annotation.AnnotationInvocationHandler
 137:            40           3520  akka.actor.ActorCell
 138:           110           3520  java.lang.ref.ReferenceQueue
 139:            47           3512  [Ljava.lang.invoke.MethodHandle;
 140:           213           3408  [Ljava.security.Principal;
 141:           142           3408  com.typesafe.config.impl.ConfigInt
 142:           213           3408  java.security.ProtectionDomain$Key
 143:           213           3408  java.util.concurrent.locks.ReentrantLock
 144:            70           3360  java.util.WeakHashMap
 145:            22           3344  org.apache.flink.shaded.netty4.io.netty.buffer.PoolArena$DirectArena
 146:           183           3328  [Lsun.reflect.generics.tree.TypeArgument;
 147:            57           3192  sun.nio.cs.UTF_8$Encoder
 148:            63           3160  [Ljavax.management.MBeanAttributeInfo;
 149:            62           2976  javax.management.MBeanInfo
 150:            92           2944  org.apache.flink.shaded.netty4.io.netty.util.internal.LongAdderCounter
 151:           182           2912  sun.reflect.generics.tree.ClassTypeSignature
 152:           121           2904  scala.concurrent.duration.FiniteDuration
 153:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 154:           120           2880  org.apache.flink.shaded.netty4.io.netty.channel.unix.FileDescriptor
 155:           119           2856  scala.collection.immutable.HashMap$HashTrieMap
 156:           118           2832  java.lang.Class$AnnotationData
 157:           177           2832  org.apache.logging.log4j.message.ReusableMessageFactory
 158:            88           2816  javax.management.MBeanAttributeInfo
 159:            34           2720  java.util.concurrent.ThreadPoolExecutor
 160:            83           2656  java.lang.invoke.DirectMethodHandle$Special
 161:           110           2640  java.util.LinkedList$Node
 162:           109           2616  java.util.concurrent.atomic.AtomicLong
 163:            54           2592  sun.net.www.MimeEntry
 164:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 165:            80           2560  org.apache.flink.runtime.metrics.dump.QueryScopeInfo$TaskQueryScopeInfo
 166:            95           2528  [Ljavax.management.ObjectName$Property;
 167:           103           2472  java.time.LocalDate
 168:           154           2464  sun.reflect.BootstrapConstructorAccessorImpl
 169:            59           2440  [Ljava.lang.reflect.Field;
 170:           101           2424  java.util.Arrays$ArrayList
 171:            39           2416  [Ljava.math.BigInteger;
 172:           150           2400  java.util.HashMap$EntrySet
 173:            97           2328  javax.management.ObjectName$Property
 174:            72           2304  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
 175:            95           2280  java.util.ArrayDeque
 176:            94           2240  [Ljava.lang.reflect.Type;
 177:            92           2216  [Ljava.lang.reflect.Constructor;
 178:            27           2160  [Ljava.util.concurrent.RunnableScheduledFuture;
 179:             4           2112  [Lorg.apache.flink.runtime.state.heap.StateMap;
 180:            66           2112  java.util.concurrent.CountDownLatch$Sync
 181:            44           2112  sun.util.locale.LocaleObjectCache$CacheEntry
 182:            87           2088  sun.reflect.NativeConstructorAccessorImpl
 183:            65           2080  akka.actor.ChildActorPath
 184:            52           2080  java.util.Collections$SingletonMap
 185:            52           2080  sun.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl
 186:           128           2048  java.lang.Character
 187:            64           2048  java.util.LinkedList
 188:            83           1992  java.util.concurrent.ConcurrentLinkedQueue$Node
 189:             5           1960  org.apache.flink.runtime.io.network.api.writer.RecordWriter$OutputFlusher
 190:            81           1944  org.apache.flink.configuration.FallbackKey
 191:            48           1920  javax.management.ObjectName
 192:            10           1920  org.apache.flink.runtime.taskmanager.Task
 193:            40           1920  org.apache.flink.shaded.netty4.io.netty.util.collection.IntObjectHashMap
 194:             5           1920  org.apache.flink.streaming.runtime.tasks.SourceStreamTask$LegacySourceFunctionThread
 195:            77           1848  [Lorg.apache.flink.configuration.FallbackKey;
 196:            33           1848  sun.misc.URLClassPath$JarLoader
 197:            19           1824  java.util.jar.JarFile$JarFileEntry
 198:           112           1792  java.lang.ref.ReferenceQueue$Lock
 199:            37           1776  java.nio.HeapByteBuffer
 200:            17           1768  org.apache.logging.log4j.core.impl.MutableLogEvent
 201:            20           1760  org.apache.flink.streaming.runtime.tasks.SystemProcessingTimeService$ScheduledTaskExecutor
 202:            72           1728  org.apache.flink.core.fs.CloseableRegistry
 203:            30           1680  java.security.Provider$Service
 204:            69           1656  java.security.Provider$ServiceKey
 205:            41           1640  org.apache.flink.runtime.state.heap.CopyOnWriteStateMap$StateMapEntry
 206:            20           1600  org.apache.logging.log4j.core.util.datetime.FixedDateFormat
 207:            40           1600  sun.management.DiagnosticCommandArgumentInfo
 208:            99           1584  java.util.Collections$SingletonSet
 209:             1           1568  [[B
 210:            49           1568  org.apache.flink.shaded.netty4.io.netty.channel.ChannelOption
 211:            49           1568  sun.reflect.generics.repository.ClassRepository
 212:             5           1560  akka.dispatch.ForkJoinExecutorConfigurator$AkkaForkJoinPool
 213:            32           1536  java.util.logging.LogManager$LoggerWeakRef
 214:            48           1536  org.apache.flink.streaming.api.windowing.windows.TimeWindow
 215:            48           1536  org.apache.flink.streaming.runtime.tasks.mailbox.MailboxExecutorImpl
 216:            38           1520  akka.actor.Deploy
 217:            94           1504  sun.reflect.DelegatingConstructorAccessorImpl
 218:            36           1440  java.security.AccessControlContext
 219:            30           1440  java.time.temporal.ValueRange
 220:            30           1440  java.util.zip.Inflater
 221:            25           1400  sun.util.calendar.ZoneInfo
 222:             1           1376  [Lsun.misc.FDBigInteger;
 223:            43           1376  akka.actor.Props
 224:            28           1344  java.util.concurrent.ThreadPoolExecutor$Worker
 225:            21           1344  java.util.jar.JarFile
 226:            42           1344  org.apache.flink.shaded.netty4.io.netty.util.concurrent.DefaultPromise
 227:            54           1296  sun.reflect.generics.factory.CoreReflectionFactory
 228:            16           1280  [Lscala.collection.mutable.HashEntry;
 229:            40           1280  akka.dispatch.Dispatcher$$anon$1
 230:            10           1280  org.apache.flink.runtime.taskmanager.RuntimeEnvironment
 231:            40           1280  org.apache.flink.shaded.netty4.io.netty.channel.epoll.EpollEventArray
 232:            40           1280  org.apache.flink.streaming.api.operators.TimerHeapInternalTimer
 233:            40           1280  org.apache.logging.log4j.core.config.builder.api.Component
 234:            53           1272  java.io.ObjectStreamClass$ClassDataSlot
 235:            39           1248  java.io.File
 236:            38           1216  akka.actor.ChildRestartStats
 237:            38           1216  org.apache.flink.configuration.MemorySize
 238:            38           1216  org.apache.flink.runtime.jobgraph.OperatorID
 239:            19           1216  org.apache.flink.runtime.metrics.groups.InternalOperatorMetricGroup
 240:            19           1216  org.apache.flink.streaming.api.operators.StreamingRuntimeContext
 241:            50           1200  java.lang.ThreadLocal$ThreadLocalMap
 242:            30           1200  java.math.BigDecimal
 243:            30           1200  java.time.temporal.ChronoField
 244:            30           1200  sun.nio.cs.UTF_8$Decoder
 245:            37           1184  java.util.regex.Pattern$Curly
 246:            21           1176  org.apache.logging.log4j.core.util.datetime.FixedDateFormat$FixedFormat
 247:            49           1176  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 248:            49           1176  sun.reflect.generics.tree.ClassSignature
