Flink 中只有一个作业,用到:
com.github.yck.datasource.WebLogDataGenerator
com.github.yck.datasource.DataGenerateStrategy
com.github.yck.simpletask.StatelessTask
三个类
 num     #instances         #bytes  class name
 112:           161           3864  org.apache.flink.api.java.tuple.Tuple2
 113:            96           3840  java.util.TreeMap$Entry
 114:           117           3744  java.lang.ref.WeakReference
 115:            93           3720  java.security.ProtectionDomain
 116:           115           3680  java.lang.ThreadLocal$ThreadLocalMap$Entry
 117:           148           3552  sun.reflect.annotation.AnnotationInvocationHandler
 118:            40           3520  akka.actor.ActorCell
 119:            47           3512  [Ljava.lang.invoke.MethodHandle;
 120:           142           3408  com.typesafe.config.impl.ConfigInt
 121:            22           3344  org.apache.flink.shaded.netty4.io.netty.buffer.PoolArena$DirectArena
 122:           183           3328  [Lsun.reflect.generics.tree.TypeArgument;
 123:            63           3160  [Ljavax.management.MBeanAttributeInfo;
 124:            98           3136  java.lang.ref.ReferenceQueue
 125:             8           3072  akka.dispatch.MonitorableThreadFactory$AkkaForkJoinWorkerThread
 126:           190           3040  java.util.HashMap$KeySet
 127:            62           2976  javax.management.MBeanInfo
 128:           185           2960  java.util.HashSet
 129:            92           2944  java.security.CodeSource
 130:            92           2944  org.apache.flink.shaded.netty4.io.netty.util.internal.LongAdderCounter
 131:            31           2928  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 132:           182           2912  sun.reflect.generics.tree.ClassTypeSignature
 133:           121           2904  scala.concurrent.duration.FiniteDuration
 134:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 135:           120           2880  org.apache.flink.shaded.netty4.io.netty.channel.unix.FileDescriptor
 136:           119           2856  scala.collection.immutable.HashMap$HashTrieMap
 137:           118           2832  java.lang.Class$AnnotationData
 138:            88           2816  javax.management.MBeanAttributeInfo
 139:           176           2816  org.apache.logging.log4j.message.ReusableMessageFactory
 140:            58           2784  java.util.WeakHashMap
 141:            82           2624  java.lang.invoke.DirectMethodHandle$Special
 142:            54           2592  sun.net.www.MimeEntry
 143:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 144:            95           2528  [Ljavax.management.ObjectName$Property;
 145:           103           2472  java.time.LocalDate
 146:           101           2424  java.util.Arrays$ArrayList
 147:            39           2416  [Ljava.math.BigInteger;
 148:           147           2352  java.util.concurrent.atomic.AtomicInteger
 149:            97           2328  javax.management.ObjectName$Property
 150:            41           2296  org.apache.flink.runtime.metrics.groups.GenericMetricGroup
 151:            83           2248  [Ljava.io.ObjectStreamField;
 152:            94           2240  [Ljava.lang.reflect.Type;
 153:           138           2208  java.util.HashMap$EntrySet
 154:           137           2192  java.util.concurrent.locks.ReentrantLock
 155:            91           2184  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 156:           134           2144  java.util.TreeSet
 157:            89           2136  java.util.concurrent.atomic.AtomicLong
 158:            66           2112  java.util.concurrent.CountDownLatch$Sync
 159:            44           2112  sun.util.locale.LocaleObjectCache$CacheEntry
 160:            52           2080  java.util.Collections$SingletonMap
 161:           128           2048  java.lang.Character
 162:            35           1960  sun.nio.cs.UTF_8$Encoder
 163:            81           1944  org.apache.flink.configuration.FallbackKey
 164:            80           1920  java.util.concurrent.ConcurrentLinkedQueue$Node
 165:            48           1920  javax.management.ObjectName
 166:            40           1920  org.apache.flink.shaded.netty4.io.netty.util.collection.IntObjectHashMap
 167:            79           1896  sun.reflect.NativeConstructorAccessorImpl
 168:            77           1848  [Lorg.apache.flink.configuration.FallbackKey;
 169:            53           1696  akka.actor.ChildActorPath
 170:            30           1680  java.security.Provider$Service
 171:            69           1656  java.security.Provider$ServiceKey
 172:            29           1624  sun.misc.URLClassPath$JarLoader
 173:           100           1600  java.lang.ref.ReferenceQueue$Lock
 174:            40           1600  sun.management.DiagnosticCommandArgumentInfo
 175:            99           1584  java.util.Collections$SingletonSet
 176:             1           1568  [[B
 177:            49           1568  org.apache.flink.shaded.netty4.io.netty.channel.ChannelOption
 178:            49           1568  sun.reflect.generics.repository.ClassRepository
 179:             5           1560  akka.dispatch.ForkJoinExecutorConfigurator$AkkaForkJoinPool
 180:            32           1536  java.util.logging.LogManager$LoggerWeakRef
 181:            38           1520  akka.actor.Deploy
 182:            93           1488  [Ljava.security.Principal;
 183:            93           1488  java.security.ProtectionDomain$Key
 184:            36           1440  java.security.AccessControlContext
 185:            30           1440  java.time.temporal.ValueRange
 186:            18           1440  java.util.concurrent.ThreadPoolExecutor
 187:            15           1440  java.util.jar.JarFile$JarFileEntry
 188:             1           1376  [Lsun.misc.FDBigInteger;
 189:            43           1376  akka.actor.Props
 190:            86           1376  sun.reflect.DelegatingConstructorAccessorImpl
 191:            34           1360  org.apache.flink.metrics.MeterView
 192:            42           1344  org.apache.flink.shaded.netty4.io.netty.util.concurrent.DefaultPromise
 193:            54           1296  sun.reflect.generics.factory.CoreReflectionFactory
 194:            16           1280  [Lscala.collection.mutable.HashEntry;
 195:            40           1280  akka.dispatch.Dispatcher$$anon$1
 196:            40           1280  org.apache.flink.shaded.netty4.io.netty.channel.epoll.EpollEventArray
 197:            40           1280  org.apache.logging.log4j.core.config.builder.api.Component
 198:            31           1240  java.io.ObjectStreamClass$FieldReflector
 199:            38           1216  akka.actor.ChildRestartStats
 200:            38           1216  org.apache.flink.configuration.MemorySize
 201:            30           1200  java.math.BigDecimal
 202:            30           1200  java.time.temporal.ChronoField
 203:            37           1184  java.util.regex.Pattern$Curly
 204:            49           1176  [Ljava.util.Map;
 205:            21           1176  org.apache.logging.log4j.core.util.datetime.FixedDateFormat$FixedFormat
 206:            49           1176  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 207:            49           1176  sun.reflect.generics.tree.ClassSignature
 208:            47           1168  [Ljavax.management.MBeanOperationInfo;
 209:            49           1168  [Lsun.reflect.generics.tree.ClassTypeSignature;
 210:            48           1152  java.util.concurrent.CompletableFuture
 211:            48           1152  sun.reflect.generics.scope.ClassScope
 212:            47           1128  com.typesafe.config.impl.Path
 213:            47           1128  com.typesafe.config.impl.SimpleConfigList
 214:            28           1120  java.lang.invoke.DirectMethodHandle$Interface
 215:            35           1120  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
 216:            23           1104  java.util.zip.Inflater
 217:            23           1104  sun.management.DiagnosticCommandInfo
 218:            17           1088  java.util.jar.JarFile
 219:            15           1080  java.util.logging.Logger
 220:            15           1080  org.apache.logging.log4j.core.config.LoggerConfig
 221:             2           1072  [Lorg.apache.flink.runtime.state.heap.HeapPriorityQueueElement;
 222:             2           1056  [Ljava.util.HashMap;
 223:             2           1056  [Ljava.util.TimerTask;
 224:            44           1056  com.sun.jmx.mbeanserver.NamedObject
 225:            66           1056  com.sun.proxy.$Proxy1
 226:            66           1056  java.util.concurrent.CountDownLatch
 227:             1           1040  [Ljava.lang.Byte;
 228:             1           1040  [Ljava.lang.Integer;
