
 num     #instances         #bytes  class name
----------------------------------------------
   1:         27356        2612352  [C
   2:          7326        1387360  [Ljava.lang.Object;
   3:          1388        1041368  [B
   4:            29         950736  [Ljava.util.concurrent.ForkJoinTask;
   5:          8333         912728  java.lang.Class
   6:          3411         845104  [I
   7:         27254         654096  java.lang.String
   8:         11122         355904  java.util.concurrent.ConcurrentHashMap$Node
   9:           513         270360  [Lorg.apache.flink.runtime.state.heap.CopyOnWriteStateMap$StateMapEntry;
  10:          6250         200000  java.util.HashMap$Node
  11:          2107         134848  java.nio.DirectByteBuffer
  12:          2794         134112  java.util.HashMap
  13:          1258         118896  [Ljava.util.HashMap$Node;
  14:          2053         114968  org.apache.flink.core.memory.MemorySegment
  15:           104         112400  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  16:          6776         108416  java.lang.Object
  17:          1610          90160  java.lang.invoke.MemberName
  18:          2118          84720  sun.misc.Cleaner
  19:           919          80872  java.lang.reflect.Method
  20:          1770          70800  java.lang.ref.SoftReference
  21:          2101          67232  java.nio.DirectByteBuffer$Deallocator
  22:          1813          61792  [S
  23:          1526          61040  java.lang.invoke.MethodType
  24:           897          57408  org.apache.flink.shaded.netty4.io.netty.buffer.PoolSubpage
  25:          2310          57264  [Ljava.lang.Class;
  26:          1332          53280  java.util.LinkedHashMap$Entry
  27:          1542          49344  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  28:            80          46080  org.apache.flink.shaded.netty4.io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  29:          1030          43464  [Ljava.lang.String;
  30:          1268          40576  java.lang.invoke.DirectMethodHandle
  31:           499          39920  java.lang.reflect.Constructor
  32:           990          39600  com.typesafe.config.impl.SimpleConfigOrigin
  33:          1542          37008  java.util.ArrayList
  34:          2143          34288  java.util.concurrent.atomic.AtomicBoolean
  35:           512          32768  org.apache.flink.runtime.state.heap.CopyOnWriteStateMap
  36:           366          29440  [J
  37:           516          28896  java.util.LinkedHashMap
  38:          1073          25752  akka.dispatch.AbstractNodeQueue$Node
  39:           536          25728  java.util.TreeMap
  40:           344          24768  java.lang.reflect.Field
  41:          1028          24672  akka.actor.LightArrayRevolverScheduler$TaskQueue
  42:          1024          24576  org.jboss.netty.util.HashedWheelTimer$HashedWheelBucket
  43:            63          23688  java.lang.Thread
  44:           349          19544  java.lang.Package
  45:           532          17024  java.util.Hashtable$Entry
  46:           419          16760  java.io.ObjectStreamField
  47:           410          16400  java.math.BigInteger
  48:           270          16200  [Ljava.lang.ref.SoftReference;
  49:           464          14848  java.lang.invoke.BoundMethodHandle$Species_L
  50:           451          14432  java.lang.invoke.LambdaForm$Name
  51:           430          13760  java.util.RegularEnumSet
  52:           341          13640  org.apache.flink.configuration.ConfigOption
  53:           161          13632  [Ljava.util.Hashtable$Entry;
  54:           425          13600  scala.collection.immutable.HashMap$HashMap1
  55:           196          12544  java.util.concurrent.ConcurrentHashMap
  56:           521          12504  org.apache.flink.api.java.tuple.Tuple2
  57:           501          12024  scala.Tuple2
  58:           113          11752  java.io.ObjectStreamClass
  59:           282          11280  java.lang.invoke.BoundMethodHandle$Species_LL
  60:           341          10912  sun.misc.FDBigInteger
  61:           425          10200  org.apache.flink.configuration.description.TextElement
  62:           245           9800  java.lang.ref.Finalizer
  63:           300           9600  java.util.Vector
