
 num     #instances         #bytes  class name
----------------------------------------------
   1:         28200        2700032  [C
   2:          7478        1393432  [Ljava.lang.Object;
   3:          1394         983344  [B
   4:            29         950736  [Ljava.util.concurrent.ForkJoinTask;
   5:          8396         919312  java.lang.Class
   6:          3438         846960  [I
   7:         28054         673296  java.lang.String
   8:         11131         356192  java.util.concurrent.ConcurrentHashMap$Node
   9:           513         270360  [Lorg.apache.flink.runtime.state.heap.CopyOnWriteStateMap$StateMapEntry;
  10:          6537         209184  java.util.HashMap$Node
  11:          1741         153208  java.lang.reflect.Method
  12:          2907         139536  java.util.HashMap
  13:          2107         134848  java.nio.DirectByteBuffer
  14:          1264         118632  [Ljava.util.HashMap$Node;
  15:          2052         114912  org.apache.flink.core.memory.MemorySegment
  16:           104         112400  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  17:          6759         108144  java.lang.Object
  18:          1610          90160  java.lang.invoke.MemberName
  19:          2116          84640  sun.misc.Cleaner
  20:          3502          82424  [Ljava.lang.Class;
  21:          1842          73680  java.lang.ref.SoftReference
  22:          2101          67232  java.nio.DirectByteBuffer$Deallocator
  23:          1526          61040  java.lang.invoke.MethodType
  24:          1793          60192  [S
  25:           800          57600  java.lang.reflect.Field
  26:           897          57408  org.apache.flink.shaded.netty4.io.netty.buffer.PoolSubpage
  27:           702          56160  java.lang.reflect.Constructor
  28:          1337          53480  java.util.LinkedHashMap$Entry
  29:          1542          49344  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  30:            80          46080  org.apache.flink.shaded.netty4.io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  31:          1071          44680  [Ljava.lang.String;
  32:          1268          40576  java.lang.invoke.DirectMethodHandle
  33:           990          39600  com.typesafe.config.impl.SimpleConfigOrigin
  34:          1530          36720  java.util.ArrayList
  35:          2139          34224  java.util.concurrent.atomic.AtomicBoolean
  36:           512          32768  org.apache.flink.runtime.state.heap.CopyOnWriteStateMap
  37:           429          31912  [J
  38:           489          27384  java.util.LinkedHashMap
  39:          1078          25872  akka.dispatch.AbstractNodeQueue$Node
  40:           536          25728  java.util.TreeMap
  41:          1028          24672  akka.actor.LightArrayRevolverScheduler$TaskQueue
  42:          1024          24576  org.jboss.netty.util.HashedWheelTimer$HashedWheelBucket
  43:           605          24200  java.io.ObjectStreamField
  44:            63          23688  java.lang.Thread
  45:           351          19656  java.lang.Package
  46:           180          18720  java.io.ObjectStreamClass
